"id","label","name"
"255","9606","ANP32A"
"256","9606","MAP1B"
"257","9606","MCM7"
"258","9606","ORC3"
"259","9606","FHL2"
"260","9606","NOV"
"261","9606","POLR2L"
"262","9606","KMT2A"
"263","9606","PPIE"
"264","9606","PPP1R15A"
"265","9606","NEB"
"266","9606","NGFR"
"267","9606","PRKACB"
"268","9606","LSM7"
"269","9606","NPY1R"
"270","9606","SNCAIP"
"271","9606","SNCA"
"272","9606","EPB41L1"
"273","9606","MAP3K8"
"274","9606","RELA"
"275","9606","FOS"
"276","9606","RNF25"
"277","9606","PPP1R13L"
"278","9606","FEN1"
"279","9606","NOP2"
"280","9606","MCRS1"
"281","9606","ETS1"
"282","9606","PLXNA1"
"283","9606","AKT1"
"284","9606","AKT2"
"285","9606","APPL1"
"286","9606","ETS2"
"287","9606","CDK10"
"288","9606","SHANK2"
"289","9606","CTTN"
"290","9606","WIPF1"
"291","9606","SNW1"
"292","9606","SKI"
"293","9606","NRAS"
"294","9606","RAP1GDS1"
"295","9606","GLMN"
"296","9606","MET"
"297","9606","KDM5B"
"298","9606","FOXG1"
"299","9606","EZH2"
"300","9606","REL"
"301","9606","PPP4C"
"302","9606","FLT1"
"303","9606","SHC1"
"304","9606","OPRD1"
"305","9606","GPRASP1"
"306","9606","MYO1C"
"307","9606","PDE6D"
"308","9606","RHOB"
"309","9606","RHOA"
"310","9606","PAX5"
"311","9606","TLE4"
"312","9606","PAX9"
"313","9606","KALRN"
"314","9606","PAM"
"315","9606","NRBF2"
"316","9606","PPARA"
"317","9606","PIK3R3"
"318","9606","PIK3CA"
"319","9606","APOA1"
"320","9606","PDE1A"
"321","9606","LSM8"
"322","9606","PGD"
"323","9606","SNX17"
"324","9606","SELP"
"325","9606","PKD1"
"326","9606","PKD2"
"327","9606","TRPC1"
"328","9606","KCNA4"
"329","9606","DLG1"
"330","9606","PFN2"
"331","9606","FHOD1"
"332","9606","HUS1"
"333","9606","PTPRB"
"334","9606","MAGI3"
"335","9606","PRKAR1A"
"336","9606","PRKAR1B"
"337","9606","AKAP1"
"338","9606","FER"
"339","9606","TMF1"
"340","9606","MAPK1"
"341","9606","NEK2"
"342","9606","PDPK1"
"343","9606","PRKCZ"
"344","9606","WWC1"
"345","9606","MAF"
"346","9606","ARHGDIG"
"347","9606","RHOG"
"348","9606","CD2AP"
"349","9606","RAB4A"
"350","9606","RABEP1"
"351","9606","RAB5A"
"352","9606","RIN3"
"353","9606","RAB5B"
"354","9606","RAP1A"
"355","9606","KRIT1"
"356","9606","RGL2"
"357","9606","RAP1B"
"358","9606","RAP2B"
"359","9606","EXOC8"
"360","9606","RALA"
"361","9606","BRCA2"
"362","9606","RAD51"
"363","9606","RAD51AP1"
"364","9606","DMC1"
"365","9606","HBP1"
"366","9606","TRAP1"
"367","9606","AATF"
"368","9606","THOC1"
"369","9606","RBL2"
"370","9606","RXRA"
"371","9606","BRD8"
"372","9606","ANK1"
"373","9606","RHAG"
"374","9606","LMO2"
"375","9606","KDM5A"
"376","9606","TAL1"
"377","9606","UPF2"
"378","9606","RPS25"
"379","9606","RPLP1"
"380","9606","RPLP2"
"381","9606","CYTH1"
"382","9606","ARFRP1"
"383","9606","TOP3B"
"384","9606","SNRPB"
"385","9606","SNRPA"
"386","9606","PDZK1"
"387","9606","SLC9A3"
"388","9606","SLC17A1"
"389","9606","OBSCN"
"390","9606","SOX9"
"391","9606","NR5A1"
"392","9606","NRIP1"
