directorId:ID(Director),name
g.112yfd67k,Joe Pearson
g.112yfpbts,Ali Benjelloun
g.112yg66ms,Marco Mattolini
g.112yg8hjj,Diana Naecke
g.112ygcc01,Theodora Remundová
g.112ygczst,Hans H. König
g.113qb9gcx,Mathias Poledna
g.113qbb2ck,Ettore Buchi
g.113qbq6n6,Jens Becker
g.113qbtz3_,Nasser Mehdipoor
g.113tzbvc4,Pasquale Misuraca
g.119pf_dmj,Andras Solyom
g.119pflycz,Ji-u Hong
g.119pg3fjm,Pasquale Marino
g.119pgptg8,Irina Poplavskaya
g.11b5m18cr9,Joana Nin
g.11b5m1xljn,Yael Reuveny
g.11b5qdh509,Jens Huckeriede
g.11b5v1g_wp,Hiroshi Nishio
g.11b5v2q_vl,Marc Bauder
g.11b5v35133,Halder Gomes
g.11b60r3k3n,Nicolaj Pennestri
g.11b60s1ylg,Cornelia Grünberg
g.11b60sjzvy,Seiichi Fukuda
g.11b60srh29,Roland Steiner
g.11b60thryz,Iura Luncasu
g.11b60wv2lj,Dietmar Buchmann
g.11b60wv2xv,Julius Matula
g.11b60wzc7t,Michihito Fujii
g.11b60xsczb,Martin Dostál
g.11b62rvn_w,Véronique Reymond
g.11b62yv7_n,José Luis Urquieta
g.11b66k197n,Yuya Yamaguchi
g.11b6_6szhw,Michael Larnell
g.11b6_7r_25,Ilker Çatak
g.11b6_8jh0j,Christian Moris Müller
g.11b69tkpmh,Jin Mo-young
g.11b6b2q8gp,Frederico Prosperi
g.11b6b421cg,Vasili Zhuravlyov
g.11b6b65nft,Askold Kurov
g.11b6_b98jp,Antonello Belluco
g.11b6bb7lcw,Kurt Früh
g.11b6bh_vth,Carolina Moraes-Liu
g.11b6bppbyq,Silvestro Prestifilippo
g.11b6bwvp86,Vladimír Kavciak
g.11b6_bxjmy,Asako Kageyama
g.11b6c90stv,Vladimir Fatyanov
g.11b6c9q183,Frederik Steiner
g.11b6cc6ftz,Václav Křístek
