VertexID:ID,label,name
7148,9606,APBB3
12212,9606,HNRNPCL3
14730,9606,KCNH7
5151,9606,STC2
5997,9606,PRSS1
8390,9606,KLHDC10
7318,9606,CDH9
14890,9606,DENND3
12874,9606,CSPP1
6754,9606,C4A
14390,9606,GPR137B
9673,9606,FRZB
1061,9606,SYMPK
3280,9606,SGK1
2249,9606,MAPRE3
10806,9606,MICU2
12005,9606,DOCK5
10619,9606,GPR52
280,9606,MCRS1
1927,9606,RAB33A
6041,9606,CDH23
3992,9606,SPTBN1
10893,9606,GZMK
2242,9606,ZFP36
15027,9606,NAT8B
14801,9606,MYOM1
13263,9606,LGALS13
14924,9606,SGMS2
4646,9606,VDR
11982,9606,ACOX3
878,9606,CHD4
427,9606,TNFAIP3
291,9606,SNW1
9834,9606,IFT80
3214,9606,PMVK
13778,9606,GJA4
13591,9606,SLC25A18
192,9606,QARS
4320,9606,ZHX2
4217,9606,SNTA1
14138,9606,SLC36A1
14746,9606,IL27
10500,9606,PTCRA
10461,9606,CYGB
10110,9606,ZNF562
12664,9606,ABCB4
9749,9606,ZNF460
2921,9606,NHEJ1
10453,9606,ATOH8
7114,9606,CEP250
10745,9606,MRPS15
11973,9606,KCNK17
2019,9606,RSRP1
6163,9606,CD19
10537,9606,PEMT
2624,9606,SYT11
9258,9606,ACSL3
14165,9606,AKR1D1
13893,9606,PRSS45
10547,9606,FBXL15
14401,9606,DOC2B
11533,9606,ACTL7A
2417,9606,NRBP1
823,9606,IL1RAP
7398,9606,REG3A
701,9606,SNRPD3
9297,9606,IGKV1-12
9118,9606,HIST1H1T
11310,9606,ATPAF2
3168,9606,NPRL2
10477,9606,FKBP15
7871,9606,SSNA1
3522,9606,PPP2R2A
11590,9606,FXYD7
4531,9606,ZNF354A
14153,9606,FAHD2A
4230,9606,SCNN1B
10371,9606,ATP5D
11265,9606,SYCP2L
13100,9606,SPATA31A3
9176,9606,EIF4E3
14244,9606,VSIG2
6117,9606,PTCH2
8591,9606,MKRN1
8704,9606,EGLN3
1159,559292,RTF1
2913,559292,RNH1
4901,9606,SUPT3H
14556,9606,DPY19L2
10111,9606,TULP4
12677,9606,TMEM106A
4035,9606,PPP6R1
4600,9606,CXCL8
13514,9606,SCRG1
4828,9606,STAT4
11104,9606,KRT83
8076,9606,RNF20
3308,9606,RPS11
11861,9606,DEPDC1B
6083,9606,ITGAL
63,9606,MCM5
1546,9606,ANXA11
2404,9606,LOXL4
13471,9606,CNKSR3
3070,9606,MKLN1
6269,9606,EN1
10895,9606,NLRC3
14359,9606,TMEM185B
4390,9606,HSPB2
13729,9606,HPS3
5060,9606,PSMA4
541,9606,AP1G1
2237,9606,CCDC174
5024,9606,MXD1
9437,9606,MTPAP
7757,559292,MDN1
14106,9606,KIAA1586
5563,9606,SLC1A6
3342,9606,RPL21
793,9606,ILKAP
368,9606,THOC1
3983,9606,ZMYND11
2313,9606,FCHSD2
4624,9606,PODXL2
4260,9606,KLF7
14751,9606,EPYC
11513,9606,CXCL14
751,9606,CUL5
4919,9606,ADRA1B
14453,9606,SLC10A7
3765,9606,HDGFRP2
7060,9606,VPS33A
